******************************浮点输入的LSH测试*******************************

table_num key_size  scale   精度    查询用时ms    索引用时ms    索引内存MB    
10        18        2.00    0.196   20            175           0.64          
10        18        3.00    0.286   20            139           0.59          
10        18        4.00    0.347   27            166           0.59          
10        18        5.00    0.395   18            141           0.59          
10        18        6.00    0.434   29            121           0.59          
10        18        7.00    0.481   19            119           0.59          
10        18        8.00    0.518   19            116           0.59          
10        18        10.00   0.633   23            123           0.64          
10        18        20.00   0.720   34            119           0.64          
10        20        2.00    0.262   9             117           0.65          
10        20        3.00    0.341   19            118           0.65          
10        20        4.00    0.398   21            133           0.65          
10        20        5.00    0.454   14            119           0.65          
10        20        6.00    0.500   21            116           0.65          
10        20        7.00    0.539   18            116           0.66          
10        20        8.00    0.570   28            115           0.66          
10        20        10.00   0.621   22            115           0.66          
10        20        20.00   0.675   28            115           0.66          
10        25        2.00    0.286   11            144           0.74          
10        25        3.00    0.360   17            145           0.74          
10        25        4.00    0.373   14            159           0.75          
10        25        5.00    0.422   20            145           0.75          
10        25        6.00    0.465   19            144           0.75          
10        25        7.00    0.492   24            145           0.75          
10        25        8.00    0.512   20            144           0.75          
10        25        10.00   0.531   20            146           0.75          
10        25        20.00   0.613   24            144           0.74          
10        30        2.00    0.261   15            174           0.90          
10        30        3.00    0.295   12            172           0.90          
10        30        4.00    0.313   13            172           0.90          
10        30        5.00    0.326   14            172           0.90          
10        30        6.00    0.371   13            172           0.90          
10        30        7.00    0.377   19            174           0.90          
10        30        8.00    0.382   14            173           0.90          
10        30        10.00   0.393   15            172           0.90          
10        30        20.00   0.361   15            173           0.91          
10        40        2.00    0.090   10            229           1.07          
10        40        3.00    0.088   10            228           1.07          
10        40        4.00    0.090   19            228           1.07          
10        40        5.00    0.075   10            235           1.08          
10        40        6.00    0.076   10            227           1.08          
10        40        7.00    0.075   14            226           1.08          
10        40        8.00    0.076   10            238           1.08          
10        40        10.00   0.111   11            231           1.06          
10        40        20.00   0.113   11            229           1.06          
10        50        2.00    0.024   11            281           1.12          
10        50        3.00    0.046   10            282           1.11          
10        50        4.00    0.047   11            283           1.11          
10        50        5.00    0.047   11            282           1.11          
10        50        6.00    0.046   10            291           1.11          
10        50        7.00    0.020   10            283           1.12          
10        50        8.00    0.021   10            288           1.12          
10        50        10.00   0.020   12            287           1.12          
10        50        20.00   0.036   11            281           1.12          
10        60        2.00    0.010   11            363           1.13          
10        60        3.00    0.015   16            335           1.13          
10        60        4.00    0.015   11            333           1.13          
10        60        5.00    0.015   12            334           1.13          
10        60        6.00    0.012   11            359           1.13          
10        60        7.00    0.012   11            331           1.13          
10        60        8.00    0.012   11            346           1.13          
10        60        10.00   0.011   11            331           1.13          
10        60        20.00   0.013   11            361           1.13          
30        18        2.00    0.205   9             290           1.86          
30        18        3.00    0.280   10            294           1.86          
30        18        4.00    0.358   12            293           1.86          
30        18        5.00    0.464   14            305           1.97          
30        18        6.00    0.521   16            297           1.97          
30        18        7.00    0.567   19            304           1.97          
30        18        8.00    0.668   23            294           1.95          
30        18        10.00   0.738   29            298           1.95          
30        18        20.00   0.909   53            298           1.95          
30        20        2.00    0.236   9             301           1.92          
30        20        3.00    0.327   11            298           1.92          
30        20        4.00    0.388   12            302           1.94          
30        20        5.00    0.449   14            304           1.94          
30        20        6.00    0.509   17            303           1.94          
30        20        7.00    0.570   27            312           1.93          
30        20        8.00    0.607   25            296           1.93          
30        20        10.00   0.681   26            298           1.93          
30        20        20.00   0.893   61            330           1.94          
30        25        2.00    0.278   16            349           2.04          
30        25        3.00    0.358   13            347           2.06          
30        25        4.00    0.416   15            349           2.06          
30        25        5.00    0.472   17            370           2.06          
30        25        6.00    0.569   27            346           2.02          
30        25        7.00    0.611   21            346           2.02          
30        25        8.00    0.663   25            350           2.04          
30        25        10.00   0.728   30            352           2.04          
30        25        20.00   0.906   58            355           2.04          
30        30        2.00    0.304   12            418           2.18          
30        30        3.00    0.386   15            430           2.18          
30        30        4.00    0.477   16            420           2.17          
30        30        5.00    0.536   19            420           2.17          
30        30        6.00    0.603   22            418           2.15          
30        30        7.00    0.638   24            421           2.15          
30        30        8.00    0.633   25            420           2.18          
30        30        10.00   0.698   29            426           2.18          
30        30        20.00   0.879   52            419           2.17          
30        40        2.00    0.346   17            553           2.60          
30        40        3.00    0.431   20            547           2.63          
30        40        4.00    0.511   22            574           2.64          
30        40        5.00    0.565   25            563           2.64          
30        40        6.00    0.583   26            560           2.61          
30        40        7.00    0.622   29            557           2.61          
30        40        8.00    0.662   30            554           2.62          
30        40        10.00   0.709   38            575           2.64          
30        40        20.00   0.787   44            558           2.64          
30        50        2.00    0.314   22            712           3.03          
30        50        3.00    0.357   25            702           3.08          
30        50        4.00    0.355   26            698           3.09          
30        50        5.00    0.443   32            699           3.04          
30        50        6.00    0.456   29            715           3.04          
30        50        7.00    0.356   27            699           3.10          
30        50        8.00    0.389   28            734           3.10          
30        50        10.00   0.397   28            695           3.08          
30        50        20.00   0.399   27            698           3.09          
30        60        2.00    0.116   25            841           3.33          
30        60        3.00    0.141   25            839           3.31          
30        60        4.00    0.106   25            853           3.33          
30        60        5.00    0.126   24            875           3.31          
30        60        6.00    0.134   25            850           3.31          
30        60        7.00    0.141   25            868           3.31          
30        60        8.00    0.130   25            844           3.30          
30        60        10.00   0.128   24            864           3.31          
30        60        20.00   0.111   24            845           3.32          
50        18        2.00    0.283   9             501           3.18          
50        18        3.00    0.304   11            489           3.23          
50        18        4.00    0.382   13            482           3.23          
50        18        5.00    0.470   15            479           3.17          
50        18        6.00    0.523   16            485           3.17          
50        18        7.00    0.595   20            487           3.26          
50        18        8.00    0.635   26            503           3.25          
50        18        10.00   0.708   28            482           3.25          
50        18        20.00   0.917   60            480           3.23          
50        20        2.00    0.264   9             492           3.25          
50        20        3.00    0.363   11            485           3.22          
50        20        4.00    0.435   14            481           3.22          
50        20        5.00    0.476   15            522           3.25          
50        20        6.00    0.478   22            492           3.20          
50        20        7.00    0.538   20            480           3.20          
50        20        8.00    0.608   22            508           3.23          
50        20        10.00   0.685   27            496           3.23          
50        20        20.00   0.876   53            501           3.27          
50        25        2.00    0.271   9             554           3.36          
50        25        3.00    0.406   13            537           3.30          
50        25        4.00    0.424   20            531           3.28          
50        25        5.00    0.491   21            546           3.28          
50        25        6.00    0.583   21            536           3.36          
50        25        7.00    0.610   26            538           3.28          
50        25        8.00    0.645   26            539           3.28          
50        25        10.00   0.718   28            532           3.35          
50        25        20.00   0.921   61            539           3.35          
50        30        2.00    0.326   13            614           3.43          
50        30        3.00    0.403   15            624           3.53          
50        30        4.00    0.471   17            618           3.51          
50        30        5.00    0.538   19            619           3.51          
50        30        6.00    0.586   21            616           3.49          
50        30        7.00    0.654   25            623           3.48          
50        30        8.00    0.690   28            619           3.48          
50        30        10.00   0.738   30            636           3.42          
50        30        20.00   0.915   62            625           3.49          
50        40        2.00    0.343   17            824           3.95          
50        40        3.00    0.420   19            839           3.95          
50        40        4.00    0.476   22            828           3.89          
50        40        5.00    0.548   24            822           3.87          
50        40        6.00    0.612   29            820           3.93          
50        40        7.00    0.658   30            831           3.81          
50        40        8.00    0.681   34            831           3.96          
50        40        10.00   0.761   38            818           3.92          
50        40        20.00   0.921   66            853           3.93          
50        50        2.00    0.361   23            1052          4.33          
50        50        3.00    0.455   26            1034          4.35          
50        50        4.00    0.494   29            1039          4.38          
50        50        5.00    0.550   31            1049          4.39          
50        50        6.00    0.618   35            1034          4.40          
50        50        7.00    0.626   37            1036          4.39          
50        50        8.00    0.690   37            1036          4.29          
50        50        10.00   0.736   45            1042          4.39          
50        50        20.00   0.893   78            1040          4.40          
50        60        2.00    0.365   32            1269          4.80          
50        60        3.00    0.436   33            1257          4.83          
50        60        4.00    0.487   35            1285          4.84          
50        60        5.00    0.530   38            1271          4.83          
50        60        6.00    0.598   43            1263          4.84          
50        60        7.00    0.631   44            1258          4.88          
50        60        8.00    0.649   45            1266          4.88          
50        60        10.00   0.723   49            1276          4.87          
50        60        20.00   0.783   67            1262          4.84          
80        18        2.00    0.231   9             739           5.11          
80        18        3.00    0.314   10            750           5.11          
80        18        4.00    0.410   19            743           5.15          
80        18        5.00    0.423   15            766           5.18          
80        18        6.00    0.493   18            741           5.06          
80        18        7.00    0.570   31            744           5.12          
80        18        8.00    0.560   21            743           5.07          
80        18        10.00   0.655   26            761           5.21          
80        18        20.00   0.917   57            754           5.21          
80        20        2.00    0.245   11            770           5.08          
80        20        3.00    0.324   11            739           5.08          
80        20        4.00    0.422   13            758           5.14          
80        20        5.00    0.506   16            748           5.11          
80        20        6.00    0.545   18            758           5.10          
80        20        7.00    0.568   21            744           5.19          
80        20        8.00    0.592   20            749           5.17          
80        20        10.00   0.673   25            747           5.17          
80        20        20.00   0.918   59            757           5.15          
80        25        2.00    0.297   10            799           5.16          
80        25        3.00    0.379   14            788           5.27          
80        25        4.00    0.449   23            788           5.34          
80        25        5.00    0.510   16            819           5.22          
80        25        6.00    0.553   18            787           5.20          
80        25        7.00    0.618   26            800           5.30          
80        25        8.00    0.667   30            786           5.28          
80        25        10.00   0.713   32            800           5.26          
80        25        20.00   0.912   66            799           5.26          
80        30        2.00    0.315   12            883           5.39          
80        30        3.00    0.400   14            882           5.40          
80        30        4.00    0.463   16            894           5.33          
80        30        5.00    0.498   19            879           5.44          
80        30        6.00    0.618   21            891           5.41          
80        30        7.00    0.615   22            890           5.35          
80        30        8.00    0.646   25            877           5.45          
80        30        10.00   0.757   32            896           5.44          
80        30        20.00   0.921   62            897           5.35          
80        40        2.00    0.337   17            1153          5.82          
80        40        3.00    0.439   20            1141          5.80          
80        40        4.00    0.526   23            1155          5.89          
80        40        5.00    0.567   25            1131          5.81          
80        40        6.00    0.607   29            1148          5.86          
80        40        7.00    0.658   31            1169          5.89          
80        40        8.00    0.679   32            1136          5.74          
80        40        10.00   0.760   38            1151          5.79          
80        40        20.00   0.926   73            1143          5.79          
80        50        2.00    0.343   23            1452          6.27          
80        50        3.00    0.432   26            1440          6.29          
80        50        4.00    0.531   29            1458          6.25          
80        50        5.00    0.570   32            1455          6.29          
80        50        6.00    0.611   34            1444          6.29          
80        50        7.00    0.645   44            1472          6.28          
80        50        8.00    0.682   39            1456          6.22          
80        50        10.00   0.746   47            1465          6.32          
80        50        20.00   0.929   76            1443          6.28          
80        60        2.00    0.354   31            1801          6.80          
80        60        3.00    0.445   34            1805          6.75          
80        60        4.00    0.497   36            1808          6.80          
80        60        5.00    0.583   41            1798          6.74          
80        60        6.00    0.598   41            1795          6.80          
80        60        7.00    0.638   43            1796          6.70          
80        60        8.00    0.700   47            1776          6.67          
80        60        10.00   0.750   52            1797          6.77          
80        60        20.00   0.921   83            1793          6.75          
100       18        2.00    0.208   8             944           6.39          
100       18        3.00    0.275   10            920           6.43          
100       18        4.00    0.422   14            941           6.55          
100       18        5.00    0.412   15            929           6.51          
100       18        6.00    0.528   18            931           6.44          
100       18        7.00    0.634   21            927           6.43          
100       18        8.00    0.647   22            942           6.47          
100       18        10.00   0.641   24            925           6.34          
100       18        20.00   0.906   54            926           6.30          
100       20        2.00    0.241   9             946           6.39          
100       20        3.00    0.332   15            924           6.38          
100       20        4.00    0.408   13            945           6.43          
100       20        5.00    0.494   15            940           6.42          
100       20        6.00    0.510   17            920           6.38          
100       20        7.00    0.601   19            959           6.41          
100       20        8.00    0.641   22            941           6.49          
100       20        10.00   0.650   25            922           6.38          
100       20        20.00   0.932   60            941           6.47          
100       25        2.00    0.285   14            979           6.50          
100       25        3.00    0.353   12            1005          6.60          
100       25        4.00    0.420   14            992           6.55          
100       25        5.00    0.497   17            967           6.46          
100       25        6.00    0.555   18            991           6.47          
100       25        7.00    0.608   22            982           6.58          
100       25        8.00    0.605   23            980           6.53          
100       25        10.00   0.720   36            977           6.62          
100       25        20.00   0.936   64            1008          6.49          
100       30        2.00    0.319   12            1063          6.69          
100       30        3.00    0.403   15            1074          6.68          
100       30        4.00    0.473   17            1071          6.69          
100       30        5.00    0.553   20            1061          6.72          
100       30        6.00    0.575   21            1081          6.71          
100       30        7.00    0.606   29            1064          6.63          
100       30        8.00    0.665   28            1069          6.73          
100       30        10.00   0.754   32            1076          6.65          
100       30        20.00   0.937   66            1070          6.68          
100       40        2.00    0.346   18            1336          7.17          
100       40        3.00    0.427   19            1333          7.04          
100       40        4.00    0.490   22            1331          7.06          
100       40        5.00    0.548   25            1340          7.16          
100       40        6.00    0.613   28            1342          7.11          
100       40        7.00    0.633   28            1341          7.06          
100       40        8.00    0.687   31            1331          7.05          
100       40        10.00   0.769   40            1335          7.11          
100       40        20.00   0.929   71            1331          7.05          
100       50        2.00    0.350   25            1712          7.55          
100       50        3.00    0.444   27            1689          7.68          
100       50        4.00    0.532   30            1733          7.67          
100       50        5.00    0.551   31            1784          7.54          
100       50        6.00    0.594   34            1729          7.48          
100       50        7.00    0.667   38            1723          7.66          
100       50        8.00    0.670   40            1714          7.59          
100       50        10.00   0.746   44            1698          7.49          
100       50        20.00   0.930   81            1720          7.59          
100       60        2.00    0.360   31            2110          8.08          
100       60        3.00    0.452   35            2103          8.05          
100       60        4.00    0.507   40            2093          8.08          
100       60        5.00    0.551   39            2103          8.01          
100       60        6.00    0.601   42            2116          8.02          
100       60        7.00    0.631   44            2113          8.04          
100       60        8.00    0.680   47            2108          8.09          
100       60        10.00   0.762   55            2098          8.05          
100       60        20.00   0.937   85            2099          8.04          
150       18        2.00    0.237   9             1441          9.70          
150       18        3.00    0.308   14            1439          9.66          
150       18        4.00    0.387   14            1404          9.77          
150       18        5.00    0.432   17            1410          9.56          
150       18        6.00    0.493   17            1416          9.68          
150       18        7.00    0.591   21            1420          9.60          
150       18        8.00    0.604   28            1416          9.56          
150       18        10.00   0.715   27            1407          9.53          
150       18        20.00   0.905   57            1404          9.43          
150       20        2.00    0.254   12            1445          9.59          
150       20        3.00    0.351   12            1430          9.72          
150       20        4.00    0.404   17            1399          9.61          
150       20        5.00    0.443   21            1417          9.67          
150       20        6.00    0.553   18            1431          9.63          
150       20        7.00    0.569   24            1422          9.60          
150       20        8.00    0.587   22            1419          9.77          
150       20        10.00   0.653   26            1418          9.67          
150       20        20.00   0.924   61            1417          9.55          
150       25        2.00    0.284   11            1488          9.63          
150       25        3.00    0.370   14            1465          9.69          
150       25        4.00    0.410   15            1487          9.71          
150       25        5.00    0.496   20            1457          9.62          
150       25        6.00    0.561   20            1498          9.78          
150       25        7.00    0.622   21            1501          9.60          
150       25        8.00    0.628   23            1478          9.67          
150       25        10.00   0.758   30            1493          9.84          
150       25        20.00   0.928   65            1465          9.71          
150       30        2.00    0.308   12            1544          9.82          
150       30        3.00    0.410   15            1578          9.81          
150       30        4.00    0.489   17            1553          9.94          
150       30        5.00    0.517   20            1557          9.84          
150       30        6.00    0.568   21            1550          9.87          
150       30        7.00    0.658   25            1549          9.91          
150       30        8.00    0.654   27            1569          9.82          
150       30        10.00   0.727   29            1564          9.83          
150       30        20.00   0.938   68            1544          9.91          
150       40        2.00    0.327   17            1817          10.30         
150       40        3.00    0.418   19            1808          10.26         
150       40        4.00    0.506   22            1844          10.32         
150       40        5.00    0.529   23            1814          10.18         
150       40        6.00    0.596   27            1830          10.31         
150       40        7.00    0.646   30            1830          10.39         
150       40        8.00    0.687   33            1829          10.42         
150       40        10.00   0.736   37            1807          10.28         
150       40        20.00   0.924   71            1814          10.35         
150       50        2.00    0.343   24            2229          10.82         
150       50        3.00    0.430   26            2207          10.78         
150       50        4.00    0.500   28            2205          10.63         
150       50        5.00    0.554   31            2219          10.84         
150       50        6.00    0.618   39            2205          10.90         
150       50        7.00    0.638   38            2234          10.79         
